29 29 124
0 0 0 5
0 0 1 5
0 0 2 5
0 0 3 5
0 0 4 5
0 0 5 5
0 0 6 5
0 0 7 5
0 0 8 5
0 0 9 5
0 0 10 5
0 0 11 5
0 0 12 5
0 0 13 5
0 0 14 5
0 0 15 5
0 0 16 5
0 0 17 5
0 0 18 5
0 0 19 5
0 0 20 5
0 0 21 5
0 0 22 5
0 0 23 5
0 0 24 5
0 0 25 5
0 0 26 5
0 0 27 5
0 0 28 5
0 0 29 5
0 0 30 5
0 0 31 5
0 0 32 5
0 0 33 5
0 0 34 5
0 0 35 5
0 0 36 5
0 0 37 5
0 0 38 5
0 0 39 5
0 0 40 5
0 0 41 5
0 0 42 5
0 0 43 5
0 0 44 5
0 0 45 5
0 0 46 5
0 0 47 5
0 0 48 5
0 0 49 5
0 0 50 5
0 0 51 5
0 0 52 5
0 0 53 5
0 0 54 5
0 0 55 5
0 0 56 5
0 0 57 5
0 0 58 5
0 0 59 5
0 0 60 5
0 0 61 5
0 0 62 5
0 0 63 5
0 0 64 5
0 0 65 5
0 0 66 5
0 0 67 5
0 0 68 5
0 0 69 5
0 0 70 5
0 0 71 5
0 0 72 5
0 0 73 5
0 0 74 5
0 0 75 5
0 0 76 5
0 0 77 5
0 0 78 5
0 0 79 5
0 0 80 5
0 0 81 5
0 0 82 5
0 0 83 5
0 0 84 5
0 0 85 5
0 0 86 5
0 0 87 5
0 0 88 5
0 0 89 5
0 0 90 5
0 0 91 5
0 0 92 5
0 0 93 5
0 0 94 5
0 0 95 5
0 0 96 5
0 0 97 5
0 0 98 5
0 0 99 5
0 0 100 5
0 0 101 5
0 0 102 5
0 0 103 5
0 0 104 5
0 0 105 5
0 0 106 5
0 0 107 5
0 0 108 5
0 0 109 5
0 0 110 5
0 0 111 5
0 0 112 5
0 0 113 5
0 0 114 5
0 0 115 5
0 0 116 5
0 0 117 5
0 0 118 5
0 0 119 5
0 0 120 5
0 0 121 5
0 0 122 5
0 0 123 5
0 1 0 5
0 1 1 5
0 1 2 5
0 1 3 5
0 1 4 5
0 1 5 5
0 1 6 5
0 1 7 5
0 1 8 5
0 1 9 5
0 1 10 5
0 1 11 5
0 1 12 5
0 1 13 5
0 1 14 5
0 1 15 5
0 1 16 5
0 1 17 5
0 1 18 5
0 1 19 5
0 1 20 5
0 1 21 5
0 1 22 5
0 1 23 5
0 1 24 5
0 1 25 5
0 1 26 5
0 1 27 5
0 1 28 5
0 1 29 5
0 1 30 5
0 1 31 5
0 1 32 5
0 1 33 5
0 1 34 5
0 1 35 5
0 1 36 5
0 1 37 5
0 1 38 5
0 1 39 5
0 1 40 5
0 1 41 5
0 1 42 5
0 1 43 5
0 1 44 5
0 1 45 5
0 1 46 5
0 1 47 5
0 1 48 5
0 1 49 5
0 1 50 5
0 1 51 5
0 1 52 5
0 1 53 5
0 1 54 5
0 1 55 5
0 1 56 5
0 1 57 5
0 1 58 5
0 1 59 5
0 1 60 5
0 1 61 5
0 1 62 5
0 1 63 5
0 1 64 5
0 1 65 5
0 1 66 5
0 1 67 5
0 1 68 5
0 1 69 5
0 1 70 5
0 1 71 5
0 1 72 5
0 1 73 5
0 1 74 5
0 1 75 5
0 1 76 5
0 1 77 5
0 1 78 5
0 1 79 5
0 1 80 5
0 1 81 5
0 1 82 5
0 1 83 5
0 1 84 5
0 1 85 5
0 1 86 5
0 1 87 5
0 1 88 5
0 1 89 5
0 1 90 5
0 1 91 5
0 1 92 5
0 1 93 5
0 1 94 5
0 1 95 5
0 1 96 5
0 1 97 5
0 1 98 5
0 1 99 5
0 1 100 5
0 1 101 5
0 1 102 5
0 1 103 5
0 1 104 5
0 1 105 5
0 1 106 5
0 1 107 5
0 1 108 5
0 1 109 5
0 1 110 5
0 1 111 5
0 1 112 5
0 1 113 5
0 1 114 5
0 1 115 5
0 1 116 5
0 1 117 5
0 1 118 5
0 1 119 5
0 1 120 5
0 1 121 5
0 1 122 5
0 1 123 5
0 2 0 5
0 2 1 5
0 2 2 5
0 2 3 5
0 2 4 5
0 2 5 5
0 2 6 5
0 2 7 5
0 2 8 5
0 2 9 5
0 2 10 5
0 2 11 5
0 2 12 5
0 2 13 5
0 2 14 5
0 2 15 5
0 2 16 5
0 2 17 5
0 2 18 5
0 2 19 5
0 2 20 5
0 2 21 5
0 2 22 5
0 2 23 5
0 2 24 5
0 2 25 5
0 2 26 5
0 2 27 5
0 2 28 5
0 2 29 5
0 2 30 5
0 2 31 5
0 2 32 5
0 2 33 5
0 2 34 5
0 2 35 5
0 2 36 5
0 2 37 5
0 2 38 5
0 2 39 5
0 2 40 5
0 2 41 5
0 2 42 5
0 2 43 5
0 2 44 5
0 2 45 5
0 2 46 5
0 2 47 5
0 2 48 5
0 2 49 5
0 2 50 5
0 2 51 5
0 2 52 5
0 2 53 5
0 2 54 5
0 2 55 5
0 2 56 5
0 2 57 5
0 2 58 5
0 2 59 5
0 2 60 5
0 2 61 5
0 2 62 5
0 2 63 5
0 2 64 5
0 2 65 5
0 2 66 5
0 2 67 5
0 2 68 5
0 2 69 5
0 2 70 5
0 2 71 5
0 2 72 5
0 2 73 5
0 2 74 5
0 2 75 5
0 2 76 5
0 2 77 5
0 2 78 5
0 2 79 5
0 2 80 5
0 2 81 5
0 2 82 5
0 2 83 5
0 2 84 5
0 2 85 5
0 2 86 5
0 2 87 5
0 2 88 5
0 2 89 5
0 2 90 5
0 2 91 5
0 2 92 5
0 2 93 5
0 2 94 5
0 2 95 5
0 2 96 5
0 2 97 5
0 2 98 5
0 2 99 5
0 2 100 5
0 2 101 5
0 2 102 5
0 2 103 5
0 2 104 5
0 2 105 5
0 2 106 5
0 2 107 5
0 2 108 5
0 2 109 5
0 2 110 5
0 2 111 5
0 2 112 5
0 2 113 5
0 2 114 5
0 2 115 5
0 2 116 5
0 2 117 5
0 2 118 5
0 2 119 5
0 2 120 5
0 2 121 5
0 2 122 5
0 2 123 5
0 3 0 5
0 3 1 5
0 3 2 5
0 3 3 5
0 3 4 5
0 3 5 5
0 3 6 5
0 3 7 5
0 3 8 5
0 3 9 5
0 3 10 5
0 3 11 5
0 3 12 5
0 3 13 5
0 3 14 5
0 3 15 5
0 3 16 5
0 3 17 5
0 3 18 5
0 3 19 5
0 3 20 5
0 3 21 5
0 3 22 5
0 3 23 5
0 3 24 5
0 3 25 5
0 3 26 5
0 3 27 5
0 3 28 5
0 3 29 5
0 3 30 5
0 3 31 5
0 3 32 5
0 3 33 5
0 3 34 5
0 3 35 5
0 3 36 5
0 3 37 5
0 3 38 5
0 3 39 5
0 3 40 5
0 3 41 5
0 3 42 5
0 3 43 5
0 3 44 5
0 3 45 5
0 3 46 5
0 3 47 5
0 3 48 5
0 3 49 5
0 3 50 5
0 3 51 5
0 3 52 5
0 3 53 5
0 3 54 5
0 3 55 5
0 3 56 5
0 3 57 5
0 3 58 5
0 3 59 5
0 3 60 5
0 3 61 5
0 3 62 5
0 3 63 5
0 3 64 5
0 3 65 5
0 3 66 5
0 3 67 5
0 3 68 5
0 3 69 5
0 3 70 5
0 3 71 5
0 3 72 5
0 3 73 5
0 3 74 5
0 3 75 5
0 3 76 5
0 3 77 5
0 3 78 5
0 3 79 5
0 3 80 5
0 3 81 5
0 3 82 5
0 3 83 5
0 3 84 5
0 3 85 5
0 3 86 5
0 3 87 5
0 3 88 5
0 3 89 5
0 3 90 5
0 3 91 5
0 3 92 5
0 3 93 5
0 3 94 5
0 3 95 5
0 3 96 5
0 3 97 5
0 3 98 5
0 3 99 5
0 3 100 5
0 3 101 5
0 3 102 5
0 3 103 5
0 3 104 5
0 3 105 5
0 3 106 5
0 3 107 5
0 3 108 5
0 3 109 5
0 3 110 5
0 3 111 5
0 3 112 5
0 3 113 5
0 3 114 5
0 3 115 5
0 3 116 5
0 3 117 5
0 3 118 5
0 3 119 5
0 3 120 5
0 3 121 5
0 3 122 5
0 3 123 5
0 4 0 5
0 4 1 5
0 4 2 5
0 4 3 5
0 4 4 5
0 4 5 5
0 4 6 5
0 4 7 5
0 4 8 5
0 4 9 5
0 4 10 5
0 4 11 5
0 4 12 5
0 4 13 5
0 4 14 5
0 4 15 5
0 4 16 5
0 4 17 5
0 4 18 5
0 4 19 5
0 4 20 5
0 4 21 5
0 4 22 5
0 4 23 5
0 4 24 5
0 4 25 5
0 4 26 5
0 4 27 5
0 4 28 5
0 4 29 5
0 4 30 5
0 4 31 5
0 4 32 5
0 4 33 5
0 4 34 5
0 4 35 5
0 4 36 5
0 4 37 5
0 4 38 5
0 4 39 5
0 4 40 5
0 4 41 5
0 4 42 5
0 4 43 5
0 4 44 5
0 4 45 5
0 4 46 5
0 4 47 5
0 4 48 5
0 4 49 5
0 4 50 5
0 4 51 5
0 4 52 5
0 4 53 5
0 4 54 5
0 4 55 5
0 4 56 5
0 4 57 5
0 4 58 5
0 4 59 5
0 4 60 5
0 4 61 5
0 4 62 5
0 4 63 5
0 4 64 5
0 4 65 5
0 4 66 5
0 4 67 5
0 4 68 5
0 4 69 5
0 4 70 5
0 4 71 5
0 4 72 5
0 4 73 5
0 4 74 5
0 4 75 5
0 4 76 5
0 4 77 5
0 4 78 5
0 4 79 5
0 4 80 5
0 4 81 5
0 4 82 5
0 4 83 5
0 4 84 5
0 4 85 5
0 4 86 5
0 4 87 5
0 4 88 5
0 4 89 5
0 4 90 5
0 4 91 5
0 4 92 5
0 4 93 5
0 4 94 5
0 4 95 5
0 4 96 5
0 4 97 5
0 4 98 5
0 4 99 5
0 4 100 5
0 4 101 5
0 4 102 5
0 4 103 5
0 4 104 5
0 4 105 5
0 4 106 5
0 4 107 5
0 4 108 5
0 4 109 5
0 4 110 5
0 4 111 5
0 4 112 5
0 4 113 5
0 4 114 5
0 4 115 5
0 4 116 5
0 4 117 5
0 4 118 5
0 4 119 5
0 4 120 5
0 4 121 5
0 4 122 5
0 4 123 5
0 5 0 5
0 5 1 5
0 5 2 5
0 5 3 5
0 5 4 5
0 5 5 5
0 5 6 5
0 5 7 5
0 5 8 5
0 5 9 5
0 5 10 5
0 5 11 5
0 5 12 5
0 5 13 5
0 5 14 5
0 5 15 5
0 5 16 5
0 5 17 5
0 5 18 5
0 5 19 5
0 5 20 5
0 5 21 5
0 5 22 5
0 5 23 5
0 5 24 5
0 5 25 5
0 5 26 5
0 5 27 5
0 5 28 5
0 5 29 5
0 5 30 5
0 5 31 5
0 5 32 5
0 5 33 5
0 5 34 5
0 5 35 5
0 5 36 5
0 5 37 5
0 5 38 5
0 5 39 5
0 5 40 5
0 5 41 5
0 5 42 5
0 5 43 5
0 5 44 5
0 5 45 5
0 5 46 5
0 5 47 5
0 5 48 5
0 5 49 5
0 5 50 5
0 5 51 5
0 5 52 5
0 5 53 5
0 5 54 5
0 5 55 5
0 5 56 5
0 5 57 5
0 5 58 5
0 5 59 5
0 5 60 5
0 5 61 5
0 5 62 5
0 5 63 5
0 5 64 5
0 5 65 5
0 5 66 5
0 5 67 5
0 5 68 5
0 5 69 5
0 5 70 5
0 5 71 5
0 5 72 5
0 5 73 5
0 5 74 5
0 5 75 5
0 5 76 5
0 5 77 5
0 5 78 5
0 5 79 5
0 5 80 5
0 5 81 5
0 5 82 5
0 5 83 5
0 5 84 5
0 5 85 5
0 5 86 5
0 5 87 5
0 5 88 5
0 5 89 5
0 5 90 5
0 5 91 5
0 5 92 5
0 5 93 5
0 5 94 5
0 5 95 5
0 5 96 5
0 5 97 5
0 5 98 5
0 5 99 5
0 5 100 5
0 5 101 5
0 5 102 5
0 5 103 5
0 5 104 5
0 5 105 5
0 5 106 5
0 5 107 5
0 5 108 5
0 5 109 5
0 5 110 5
0 5 111 5
0 5 112 5
0 5 113 5
0 5 114 5
0 5 115 5
0 5 116 5
0 5 117 5
0 5 118 5
0 5 119 5
0 5 120 5
0 5 121 5
0 5 122 5
0 5 123 5
0 6 0 5
0 6 1 5
0 6 2 5
0 6 3 5
0 6 4 5
0 6 5 5
0 6 6 5
0 6 7 5
0 6 8 5
0 6 9 5
0 6 10 5
0 6 11 5
0 6 12 5
0 6 13 5
0 6 14 5
0 6 15 5
0 6 16 5
0 6 17 5
0 6 18 5
0 6 19 5
0 6 20 5
0 6 21 5
0 6 22 5
0 6 23 5
0 6 24 5
0 6 25 5
0 6 26 5
0 6 27 5
0 6 28 5
0 6 29 5
0 6 30 5
0 6 31 5
0 6 32 5
0 6 33 5
0 6 34 5
0 6 35 5
0 6 36 5
0 6 37 5
0 6 38 5
0 6 39 5
0 6 40 5
0 6 41 5
0 6 42 5
0 6 43 5
0 6 44 5
0 6 45 5
0 6 46 5
0 6 47 5
0 6 48 5
0 6 49 5
0 6 50 5
0 6 51 5
0 6 52 5
0 6 53 5
0 6 54 5
0 6 55 5
0 6 56 5
0 6 57 5
0 6 58 5
0 6 59 5
0 6 60 5
0 6 61 5
0 6 62 5
0 6 63 5
0 6 64 5
0 6 65 5
0 6 66 5
0 6 67 5
0 6 68 5
0 6 69 5
0 6 70 5
0 6 71 5
0 6 72 5
0 6 73 5
0 6 74 5
0 6 75 5
0 6 76 5
0 6 77 5
0 6 78 5
0 6 79 5
0 6 80 5
0 6 81 5
0 6 82 5
0 6 83 5
0 6 84 5
0 6 85 5
0 6 86 5
0 6 87 5
0 6 88 5
0 6 89 5
0 6 90 5
0 6 91 5
0 6 92 5
0 6 93 5
0 6 94 5
0 6 95 5
0 6 96 5
0 6 97 5
0 6 98 5
0 6 99 5
0 6 100 5
0 6 101 5
0 6 102 5
0 6 103 5
0 6 104 5
0 6 105 5
0 6 106 5
0 6 107 5
0 6 108 5
0 6 109 5
0 6 110 5
0 6 111 5
0 6 112 5
0 6 113 5
0 6 114 5
0 6 115 5
0 6 116 5
0 6 117 5
0 6 118 5
0 6 119 5
0 6 120 5
0 6 121 5
0 6 122 5
0 6 123 5
0 7 0 5
0 7 1 5
0 7 2 5
0 7 3 5
